route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_deptime,second_depdate,second_delay,total_delay
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US408,7/14/08,1713,-2,114
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US128,7/14/08,1554,43,30
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US128,7/14/08,1554,43,159
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,UA1540,7/14/08,1247,-7,109
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,WN1619,7/14/08,1602,5,121
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,WN2348,7/14/08,1224,23,139
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,WN2645,7/14/08,2026,-21,95
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,WN1619,7/14/08,1602,5,164
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,WN2348,7/14/08,1224,23,182
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,WN2645,7/14/08,2026,-21,138
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US412,7/14/08,1916,-28,131
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US1550,7/14/08,1218,42,201
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US1550,7/14/08,1218,42,29
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US128,7/14/08,1554,43,202
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,US408,7/14/08,1713,-2,157
LAX_SFO_PHX,LAX,SFO,PHX,UA157,7/12/08,1116,159,UA1540,7/14/08,1247,-7,152
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,UA1540,7/14/08,1247,-7,172
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,WN1619,7/14/08,1602,5,184
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,WN2348,7/14/08,1224,23,202
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,WN2645,7/14/08,2026,-21,158
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US1550,7/14/08,1218,42,221
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US128,7/14/08,1554,43,222
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US412,7/14/08,1916,-28,151
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US408,7/14/08,1713,-2,-15
LAX_SFO_PHX,LAX,SFO,PHX,WN1728,7/12/08,1120,179,US408,7/14/08,1713,-2,177
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US128,7/14/08,1554,43,34
BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL41,4/5/08,1943,9,16
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,FL41,4/5/08,2151,20,33
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,FL40,4/5/08,1857,-2,11
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL535,4/5/08,2206,73,86
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL1423,4/5/08,2134,12,25
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL1185,4/5/08,1332,6,19
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL75,4/5/08,1704,0,13
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL41,4/5/08,1943,9,22
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL885,4/5/08,1451,5,18
BOS_ATL_LAX,BOS,ATL,LAX,FL273,4/3/08,853,13,DL125,4/5/08,1842,181,194
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL41,4/5/08,1943,9,26
BOS_ATL_LAX,BOS,ATL,LAX,FL270,4/3/08,548,7,DL535,4/5/08,2206,73,80
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL535,4/5/08,2206,73,90
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL125,4/5/08,1842,181,198
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL1185,4/5/08,1332,6,23
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL885,4/5/08,1451,5,22
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL1423,4/5/08,2134,12,29
BOS_ATL_LAX,BOS,ATL,LAX,DL663,4/3/08,713,17,DL75,4/5/08,1704,0,17
