rank,route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_depdate,second_deptime,second_delay,total_delay
56,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,B6918,1/3/08,1853,-14,289
6,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,B6916,1/3/08,1603,8,4
7,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,B6908,1/3/08,1208,13,9
8,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,AA2352,1/3/08,1708,46,54
9,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,B6908,1/3/08,1208,13,21
1,DFW_STL_ORD,DFW,STL,ORD,AA1010,9/7/08,757,-10,AA360,9/9/08,1232,-5,-15
10,DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA354,9/9/08,1433,-14,-23
11,DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA360,9/9/08,1232,-5,-14
12,DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA425,9/9/08,1336,-13,-22
13,DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA360,9/9/08,1232,-5,-13
14,DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA354,9/9/08,1433,-14,-22
15,DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA425,9/9/08,1336,-13,-21
16,DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA1754,9/9/08,1920,-11,-19
17,DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA635,9/9/08,1554,-20,-28
18,DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA1002,9/9/08,1742,-12,-20
2,DFW_STL_ORD,DFW,STL,ORD,AA1010,9/7/08,757,-10,AA354,9/9/08,1433,-14,-24
3,DFW_STL_ORD,DFW,STL,ORD,AA1010,9/7/08,757,-10,AA425,9/9/08,1336,-13,-23
4,DFW_STL_ORD,DFW,STL,ORD,AA1010,9/7/08,757,-10,AA1754,9/9/08,1920,-11,-21
5,DFW_STL_ORD,DFW,STL,ORD,AA1010,9/7/08,757,-10,AA635,9/9/08,1554,-20,-30
6,DFW_STL_ORD,DFW,STL,ORD,AA1010,9/7/08,757,-10,AA1002,9/9/08,1742,-12,-22
7,DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA635,9/9/08,1554,-20,-29
8,DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA1002,9/9/08,1742,-12,-21
9,DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA1754,9/9/08,1920,-11,-20
1,LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,UA1540,7/14/08,1247,-7,-20
